,Unnamed: 0,sub,trial_num,trial_num_within_goal,current_state,decision,got_to_goal,got_to_goal_last,goal_switch,control_regressor,RT,eligible_decisions_accuracy,retrieved_cached,planning_depth,delayed_planning,choices,worry,optimally_delayed,optimally_control_choice,optimally_delayed_last,choice_numeric,choices_numeric,choice_numeric_last,interaction_won_and_metachoice,got_to_goal_retrieved_cached,MB_decision,optimal_metacontrol_choice,over_planning,over_control,optimal_metacontrol_choice_last,points_from_choice,points_from_goal,trial_points,total_points,correct_control_action,space_hit_points,goal_points,space_hit_points_total,total_score,metacontrol_accuracy
15550,15550,sub-043.csv,-0.5932203389830508,11,start,1,1,1,1,0,0.4275527045721692,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15551,15551,sub-043.csv,-0.4576271186440678,12,start,1,1,1,1,0,0.8399279117681402,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15552,15552,sub-043.csv,-0.3389830508474576,13,start,1,1,1,1,0,2.0676599100184685,1,1,1,0,space,48,0,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,500,85800,1.0,1,4,1,5,1
15553,15553,sub-043.csv,-0.2372881355932203,14,start,1,1,1,1,0,1.4925894399374928,1,1,1,0,space,48,1,1,0,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15554,15554,sub-043.csv,-0.2203389830508474,15,start,1,1,1,0,0,0.3528375907074772,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15555,15555,sub-043.csv,-0.2033898305084746,16,start,1,1,1,0,0,0.762906424974798,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15556,15556,sub-043.csv,-0.1525423728813559,17,start,1,1,1,1,0,0.0739008078395342,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15557,15557,sub-043.csv,-0.1186440677966101,18,start,1,1,1,1,0,0.5391798172625184,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15558,15558,sub-043.csv,-0.0338983050847457,19,start,1,1,1,1,0,0.2954270028992269,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15559,15559,sub-043.csv,-0.0169491525423728,20,start,1,1,1,0,0,0.7975972819164098,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15560,15560,sub-043.csv,-0.9491525423728814,1,images/toothbrush.png,2,1,1,1,0,2.400002142697556,1,0,1,0,left,48,0,0,1,0,0,0.0,0,Lost_Novel,2,0,0,1,0.0,0,400,500,85800,1.0,0,4,1,5,0
