Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6473199eff858dd95aa6a5c6,63cfee76d9a94dc4186d3a6d,RETURNED,Not Applicable,2023-05-28T09:06:38.384000Z,,,2024-12-28T13:08:45.881601Z,,,312,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6473199fcaa07571486b4a4d,60e0bf29c82295dfeed33944,RETURNED,Not Applicable,2023-05-28T09:06:48.269000Z,2023-05-28T09:35:39.838000Z,,2024-12-28T13:08:45.924517Z,,NOCODE,1836,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
647319a06fdc02610a7b2429,5f392fae9168cc472f0468f6,RETURNED,Not Applicable,2023-05-28T09:06:40.240000Z,,,2024-12-28T13:08:45.922063Z,,,1235,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
647319a07043f4f02b1ffffd,5eb14b3c30bd5922f1fcc4f2,APPROVED,,2023-05-28T09:06:40.003000Z,2023-05-28T09:53:11.345000Z,2023-05-28T13:19:30.987000Z,2023-05-28T09:53:11.730310Z,2792,CHPYNJMX,502,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
647319c6d330840eb8a1ceaf,60009ee6d7db7017e5bbadd1,RETURNED,Not Applicable,2023-05-28T09:07:22.149000Z,2023-05-28T10:41:33.477000Z,,2024-12-28T13:08:45.923980Z,,NOCODE,1180,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64731a0c30dec8bcca1fc421,5e9edad6e7784d016ed87b36,RETURNED,Not Applicable,2023-05-28T09:08:31.043000Z,,,2024-12-28T13:08:45.963584Z,,,3481,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64731ac643420989ef1f3dcb,645cf9fc85bdf118416ed9ce,APPROVED,,2023-05-28T09:11:37.452000Z,2023-05-28T11:01:44.487000Z,2023-05-28T13:19:31.181000Z,2023-05-28T11:01:44.904268Z,6608,CHPYNJMX,37,63,Male,Black,Nigeria,United States,Nigeria,English,No,Part-Time
64731adb5595f88d10f8bb5d,64544f4a6de81125435df32a,APPROVED,,2023-05-28T09:11:55.113000Z,2023-05-28T11:10:15.020000Z,2023-05-28T11:30:36.653000Z,2023-05-28T11:10:15.444284Z,7100,NOCODE,64,54,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64731b362e53b983726b4a40,5ea01b4b2d7b4d0243d93f78,RETURNED,Not Applicable,2023-05-28T09:13:29.697000Z,,,2024-12-28T13:08:45.935398Z,,,3054,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64731b36ba0429b4be6a4394,60e85190b9cffd8fed0a064f,APPROVED,,2023-05-28T09:13:34.490000Z,2023-05-28T10:17:03.195000Z,2023-05-28T13:19:31.353000Z,2023-05-28T10:17:03.666587Z,3809,CHPYNJMX,1147,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
