Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6679c64b4db4d668fdee91d5,660d5af29e8f6f8ac3be3749,APPROVED,Not Applicable,2024-06-24T19:18:22.504000Z,2024-06-24T20:13:06.493000Z,2024-06-28T21:25:37.170000Z,2024-06-24T20:14:40.800260Z,3284.0,CHPYNJMX,133,English,45,Male,White,United Kingdom,United Kingdom,Ireland,English,No,Full-Time
6679c66ae635bb7f7aae1d25,663de1e6b7ae042447d3cb0c,APPROVED,Not Applicable,2024-06-24T19:18:25.485000Z,2024-08-15T10:20:43.928000Z,2024-08-15T10:20:44.568000Z,2024-08-15T10:20:44.702673Z,4460539.0,Manual Completion,238,English,32,Male,Black,Nigeria,United Kingdom,United Kingdom,English,No,Full-Time
6679c7469f703992d161a258,6665f451f540ce3f2b051bb0,APPROVED,Not Applicable,2024-06-24T19:22:43.369000Z,2024-06-24T20:04:58.136000Z,2024-06-28T21:25:37.503000Z,2024-06-24T20:04:59.082548Z,2535.0,CHPYNJMX,52,English,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6679c8c6da98c74b8d4fcc0f,6061ef11da123a1d9e55c6c8,APPROVED,Not Applicable,2024-06-24T19:28:11.653000Z,2024-06-24T20:50:49.241000Z,2024-06-28T21:25:37.825000Z,2024-06-24T20:52:58.909589Z,4958.0,CHPYNJMX,2277,English,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6679c8ea27f423352961a1ad,66610488829548b15de4c5c1,APPROVED,Not Applicable,2024-06-24T19:29:35.356000Z,2024-06-24T20:38:22.515000Z,2024-06-28T21:25:38.229000Z,2024-06-24T20:38:25.670552Z,4128.0,CHPYNJMX,64,English,32,Female,Black,Nigeria,United States,Nigeria,English,Yes,Part-Time
6679cbca7ee13afaef3e5a8e,6659ca3aede1cd81f25f5d46,APPROVED,Not Applicable,2024-06-24T19:41:32.980000Z,2024-06-24T20:48:59.023000Z,2024-06-28T21:25:38.646000Z,2024-06-24T20:48:59.551541Z,4047.0,CHPYNJMX,122,"English, Other",26,Female,Other,Peru,United States,Peru,English,Yes,Full-Time
6679cc715868c9e96750a069,65e1e16d9f7eaa10f3454025,APPROVED,Not Applicable,2024-06-24T19:43:54.451000Z,2024-06-24T20:39:18.655000Z,2024-06-28T21:25:39.069000Z,2024-06-24T20:39:27.015197Z,3325.0,CHPYNJMX,262,English,68,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6679cd5b0d1a83216d717b76,6659218c269c7299f759f193,APPROVED,Not Applicable,2024-06-24T19:47:54.464000Z,2024-06-24T20:44:07.625000Z,2024-06-28T21:25:39.476000Z,2024-06-24T20:44:09.502149Z,3374.0,CHPYNJMX,56,English,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6679cd70c8edd795cf70da77,66191b9dfe3a622cea867178,APPROVED,Not Applicable,2024-06-24T19:50:31.396000Z,2024-06-24T21:47:41.407000Z,2024-06-28T21:25:39.901000Z,2024-06-24T21:47:52.183134Z,7031.0,CHPYNJMX,206,English,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6679ce4e5346684464bf563d,5ab10212fb22320001bacdfe,APPROVED,Not Applicable,2024-06-24T19:51:51.102000Z,2024-06-24T20:38:20.365000Z,2024-06-28T21:25:40.319000Z,2024-06-24T20:38:22.859250Z,2790.0,CHPYNJMX,2164,English,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6679ce51b6950ccaffe94084,5d038adefda4bb00013f8afb,APPROVED,Not Applicable,2024-06-24T19:54:57.650000Z,2024-06-24T20:56:33.324000Z,2024-06-28T21:25:40.727000Z,2024-06-24T20:56:33.813880Z,3696.0,CHPYNJMX,3217,English,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6679cf9cbc04242fd761ee74,5cc96dda627fc30013fc2354,APPROVED,Not Applicable,2024-06-24T19:58:00.874000Z,2024-06-24T21:16:45.482000Z,2024-06-28T21:25:41.129000Z,2024-06-24T21:16:46.493326Z,4725.0,CHPYNJMX,471,"German, English, Urdu",32,Female,Asian,Germany,United Kingdom,Germany,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6679d08aaa28479dfe378f61,664e337b865833e9f8b59991,APPROVED,Not Applicable,2024-06-24T20:01:17.418000Z,2024-06-24T21:01:37.686000Z,2024-06-28T21:25:41.496000Z,2024-06-24T21:01:59.154382Z,3621.0,CHPYNJMX,89,"English, French, German, Chinese, Italian, Japanese, Spanish, Arabic",32,Female,Mixed,Nigeria,United Kingdom,DATA_EXPIRED,English,No,Full-Time
6679d2566e7e3783bb2621c1,6658c94ddb58287ded9f8eb8,APPROVED,Not Applicable,2024-06-24T20:09:26.471000Z,2024-06-24T21:07:04.613000Z,2024-06-28T21:25:41.774000Z,2024-06-24T21:07:05.315780Z,3459.0,CHPYNJMX,61,"English, Italian, Spanish",24,Female,Black,Italy,United Kingdom,Italy,English,Yes,Full-Time
6679d256b537fa1e97f06c49,5f50159de247cd17cf2ff86a,APPROVED,Not Applicable,2024-06-24T20:09:11.479000Z,2024-06-24T21:18:58.101000Z,2024-06-28T21:25:42.024000Z,2024-06-24T21:19:27.753994Z,4187.0,CHPYNJMX,783,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6679d73cbbeff0c16f70a43d,663a6559aca425098faa3eb6,APPROVED,Not Applicable,2024-06-24T20:29:54.199000Z,2024-06-24T21:24:49.438000Z,2024-06-28T21:25:42.275000Z,2024-06-24T21:25:02.210143Z,3296.0,CHPYNJMX,119,English,27,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6679db2ad22f3aa317969c88,5fdcd228539a382bc5e9fae5,APPROVED,Not Applicable,2024-06-24T20:46:37.687000Z,2024-06-24T22:24:15.545000Z,2024-06-28T21:25:42.555000Z,2024-06-24T22:24:24.630755Z,5858.0,CHPYNJMX,2659,English,43,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
6679dea7d961448c41628be2,6666004f09b6d73da6f4f20b,APPROVED,Not Applicable,2024-06-24T21:01:46.325000Z,2024-06-24T21:59:30.197000Z,2024-06-28T21:31:36.284000Z,2024-06-24T22:01:56.076366Z,3464.0,CHPYNJMX,53,English,27,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
6679e0133f855ba978447cfb,6413a4a1a6e064ffb173f1ce,APPROVED,Not Applicable,2024-06-24T21:08:42.647000Z,2024-06-24T22:02:00.750000Z,2024-06-28T21:31:36.564000Z,2024-06-24T22:02:33.098489Z,3199.0,CHPYNJMX,1001,English,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6679e137174aea23b4f49e95,6675a248b4b34ac37e7eea5f,APPROVED,Not Applicable,2024-06-24T21:12:37.112000Z,2024-06-24T21:31:52.830000Z,2024-07-15T00:06:34.736000Z,2024-06-24T21:33:03.938787Z,1156.0,NOCODE,51,English,47,Male,White,United States,United States,United States,English,No,Full-Time
