study,model,sub,npar,loglik,lme,bic,n_obs
study1,CB,sub-085.csv,1,-0.8571860984284463,-0.8571860984284463,6.907329047747103,180
study1,CB,sub-055.csv,1,-114.57270268781119,-114.57270268781119,234.33836222651257,180
study1,CB,sub-064.csv,1,-41.411265072125175,-41.411265072125175,88.01548699514056,180
study1,CB,sub-034.csv,1,-124.58865838586401,-124.58865838586401,254.3702736226182,180
study1,CB,sub-057.csv,1,-100.1073095240143,-100.1073095240143,205.4075758989188,180
study1,CB,sub-012.csv,1,-122.57987425953752,-122.57987425953752,250.35270536996524,180
study1,CB,sub-022.csv,1,-117.1473624643041,-117.1473624643041,239.4876817794984,180
study1,CB,sub-037.csv,1,-91.44227322996822,-91.44227322996822,188.07750331082664,180
study1,CB,sub-091.csv,1,-49.201275894993,-49.201275894993,103.59550864087622,180
study1,CB,sub-029.csv,1,-104.38509921345995,-104.38509921345995,213.9631552778101,180
study1,CB,sub-073.csv,1,-19.22162470620873,-19.22162470620873,43.63620626330767,180
