study,model,sub,npar,loglik,lme,bic,n_obs
study1,SR,sub-086.csv,2,-53.24729858054582,-53.24729858054582,116.88051086287206,180
study1,SR,sub-035.csv,2,-5.323354590519744,-5.323354590519744,21.032622882819908,180
study1,SR,sub-066.csv,2,-10.818900660709303,-10.818900660709303,32.02371502319903,180
study1,SR,sub-058.csv,2,-16.929021454867268,-16.929021454867268,44.24395661151496,180
study1,SR,sub-010.csv,2,-0.7321327404216245,-0.7321327404216245,11.85017918262367,180
study1,SR,sub-015.csv,2,-63.177277946734364,-63.177277946734364,136.74046959524915,180
study1,SR,sub-078.csv,2,-121.75936447693275,-121.75936447693275,253.90464265564592,180
study1,SR,sub-042.csv,2,-0.7341351343586169,-0.7341351343586169,11.854183970497655,180
study1,SR,sub-069.csv,2,-90.11483520855342,-90.11483520855342,190.61558411888726,180
study1,SR,sub-090.csv,2,-17.477130908962124,-17.477130908962124,45.34017551970467,180
study1,SR,sub-054.csv,2,-43.30024309791124,-43.30024309791124,96.98639989760291,180
study1,SR,sub-076.csv,2,-43.24875463072887,-43.24875463072887,96.88342296323816,180
study1,SR,sub-045.csv,2,-113.80327382141643,-113.80327382141643,237.99246134461328,180
study1,SR,sub-039.csv,2,-111.86619421651612,-111.86619421651612,234.11830213481267,180
study1,SR,sub-079.csv,2,-33.98787048404344,-33.98787048404344,78.3616546698673,180
study1,SR,sub-089.csv,2,-58.78853245187501,-58.78853245187501,127.96297860553044,180
study1,SR,sub-074.csv,2,-25.97470043421234,-25.97470043421234,62.3353145702051,180
study1,SR,sub-014.csv,2,-98.75887347326012,-98.75887347326012,207.90366064830067,180
study1,SR,sub-062.csv,2,-49.65266655380789,-49.65266655380789,109.6912468093962,180
study1,SR,sub-025.csv,2,-70.94243237129625,-70.94243237129625,152.27077844437292,180
study1,SR,sub-040.csv,2,-48.924940052695675,-48.924940052695675,108.23579380717177,180
study1,SR,sub-077.csv,2,-75.92909659424505,-75.92909659424505,162.24410689027053,180
study1,SR,sub-011.csv,2,-50.09294239728192,-50.09294239728192,110.57179849634426,180
study1,SR,sub-030.csv,2,-0.7280039497842061,-0.7280039497842061,11.841921601348833,180
study1,SR,sub-068.csv,2,-80.8015078377221,-80.8015078377221,171.98892937722462,180
study1,SR,sub-019.csv,2,-58.40200211687037,-58.40200211687037,127.18991793552117,180
study1,SR,sub-050.csv,2,-45.73813351084707,-45.73813351084707,101.86218072347457,180
study1,SR,sub-067.csv,2,-5.277174659559448,-5.277174659559448,20.940263020899316,180
study1,SR,sub-017.csv,2,-12.71245478513492,-12.71245478513492,35.81082327205026,180
study1,SR,sub-047.csv,2,-66.01612704912407,-66.01612704912407,142.41816780002856,180
study1,SR,sub-031.csv,2,-51.891295131455635,-51.891295131455635,114.1685039646917,180
study1,SR,sub-021.csv,2,-10.254435122338007,-10.254435122338007,30.894783946456435,180
study1,SR,sub-070.csv,2,-39.05937746137248,-39.05937746137248,88.50466862452538,180
study1,SR,sub-046.csv,2,-15.92122255850419,-15.92122255850419,42.228358818788806,180
study1,SR,sub-056.csv,2,-92.61398096351883,-92.61398096351883,195.61387562881808,180
study1,SR,sub-083.csv,2,-0.7977856415303306,-0.7977856415303306,11.981484984841082,180
study1,SR,sub-027.csv,2,-19.18983197176243,-19.18983197176243,48.765577645305285,180
study1,SR,sub-051.csv,2,-90.71333170012267,-90.71333170012267,191.81257710202576,180
study1,SR,sub-060.csv,2,-46.09973936915584,-46.09973936915584,102.58539244009211,180
study1,SR,sub-043.csv,2,-12.915214086331678,-12.915214086331678,36.21634187444378,180
study1,SR,sub-032.csv,2,-69.7949039555535,-69.7949039555535,149.9757216128874,180
study1,SR,sub-053.csv,2,-36.84197515905528,-36.84197515905528,84.06986401989099,180
study1,SR,sub-087.csv,2,-119.34950971954586,-119.34950971954586,249.08493314087215,180
study1,SR,sub-033.csv,2,-14.844170934205453,-14.844170934205453,40.074255570191326,180
study1,SR,sub-041.csv,2,-45.054164923824935,-45.054164923824935,100.4942435494303,180
study1,SR,sub-001.csv,2,-17.959240778941933,-17.959240778941933,46.30439525966429,180
study1,SR,sub-061.csv,2,-81.76322670141984,-81.76322670141984,173.9123671046201,180
study1,SR,sub-071.csv,2,-89.13064234758943,-89.13064234758943,188.64719839695928,180
study1,SR,sub-006.csv,2,-26.330625985004808,-26.330625985004808,63.04716567179004,180
study1,SR,sub-049.csv,2,-25.901838459416936,-25.901838459416936,62.1895906206143,180
study1,SR,sub-024.csv,2,-79.99857285322595,-79.99857285322595,170.38305940823233,180
study1,SR,sub-072.csv,2,-38.63714446904484,-38.63714446904484,87.6602026398701,180
study1,SR,sub-063.csv,2,-114.41522595665914,-114.41522595665914,239.2163656150987,180
study1,SR,sub-081.csv,2,-116.74826633072678,-116.74826633072678,243.88244636323398,180
study1,SR,sub-080.csv,2,-0.7280003522464185,-0.7280003522464185,11.841914406273258,180
study1,SR,sub-013.csv,2,-5.306466206732182,-5.306466206732182,20.998846115244785,180
study1,SR,sub-065.csv,2,-10.818900660709303,-10.818900660709303,32.02371502319903,180
study1,SR,sub-093.csv,2,-86.48358193159213,-86.48358193159213,183.35307756496468,180
study1,SR,sub-002.csv,2,-0.7280060004739397,-0.7280060004739397,11.8419257027283,180
