,Unnamed: 0,sub,trial_num,trial_num_within_goal,current_state,decision,got_to_goal,got_to_goal_last,goal_switch,control_regressor,RT,eligible_decisions_accuracy,retrieved_cached,planning_depth,delayed_planning,choices,worry,optimally_delayed,optimally_control_choice,optimally_delayed_last,choice_numeric,choice_numeric_last,choices_numeric,interaction_won_and_metachoice,got_to_goal_retrieved_cached,MB_decision,optimal_metacontrol_choice,optimal_metacontrol_choice_accurate,over_planning,over_control,optimal_metacontrol_choice_last,points_from_choice,points_from_goal,trial_points,total_points,correct_control_action,meta_action,switch_order,goal_reachability
65,65,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.7627118644067796,6,start,1,1,0.0,0,1,0.360746643308786,1,1,3,1,right,30,1,1,1,0,0.0,1,0,Won_Cached,1,1,1,0,0,1.0,0,400,400,53100,1.0,0,1,0
66,66,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.6949152542372882,7,start,1,1,1.0,1,1,0.250213822836873,1,1,3,1,right,30,1,1,1,0,0.0,1,0,Won_Cached,1,1,1,0,0,1.0,0,400,400,53100,1.0,0,1,0
67,67,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.6779661016949152,8,start,1,1,1.0,0,1,0.8187661019841037,1,1,3,1,right,30,1,1,1,0,0.0,1,0,Won_Cached,1,1,1,0,0,1.0,0,400,400,53100,1.0,0,1,0
68,68,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.6271186440677966,9,start,1,1,1.0,1,1,1.4496681417104662,1,1,3,1,right,30,1,1,1,0,0.0,1,0,Won_Cached,1,1,1,0,0,1.0,0,400,400,53100,1.0,0,1,0
69,69,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.6101694915254238,10,start,1,1,1.0,0,1,0.2771770878066333,1,1,3,1,right,30,1,1,1,0,0.0,1,0,Won_Cached,1,1,1,0,0,1.0,0,400,400,53100,1.0,0,1,0
70,70,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.559322033898305,11,start,1,1,1.0,1,1,0.397768901473694,1,1,3,1,right,30,1,1,1,0,0.0,1,0,Won_Cached,1,1,1,0,0,1.0,0,400,400,53100,1.0,0,1,0
71,71,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.3898305084745763,12,start,1,1,1.0,1,1,0.3568349311400976,1,1,3,1,right,30,1,1,1,0,0.0,1,0,Won_Cached,1,1,1,0,0,1.0,0,400,400,53100,1.0,0,1,0
72,72,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.3220338983050847,13,start,1,1,1.0,1,1,0.43883540758327,1,1,3,1,right,30,1,1,1,0,0.0,1,0,Won_Cached,1,1,1,0,0,1.0,0,400,400,53100,1.0,0,1,0
73,73,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.2711864406779661,14,start,1,1,1.0,1,1,1.4627460132802217,1,1,3,1,right,30,1,1,1,0,0.0,1,0,Won_Cached,1,1,1,0,0,1.0,0,400,400,53100,1.0,0,1,0
74,74,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.1525423728813559,15,start,1,1,1.0,1,1,0.6315376989282541,1,1,3,1,right,30,1,1,1,0,0.0,1,0,Won_Cached,1,1,1,0,0,1.0,0,400,400,53100,1.0,0,1,0
75,75,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.0847457627118644,16,start,1,0,1.0,1,1,-0.6273594400219421,1,0,3,1,left,30,1,1,1,0,0.0,0,0,Won_Novel,1,1,0,0,0,1.0,0,0,0,53100,0.0,0,1,0
